-7,-7,-1
-1,-5,0
2,-2,1
7,4,2
0,-3,1
-14,0,0
-13,-12,1
-7,-10,2
-4,-7,3
1,-1,4
2,10,5
10,-1,6
3,-8,5
-11,-5,4
-4,-15,5
2,-13,6
5,-10,7
10,-4,8
11,7,9
4,0,8
-10,3,7
-9,-9,8
-3,-7,9
0,-4,10
5,2,11
-2,-5,10
4,-3,11
-4,-15,10
-1,-12,11
4,-6,12
5,5,13
13,-6,14
6,-13,13
-8,-10,12
-2,-8,13
1,-5,14
6,1,15
-1,-6,14
-15,-3,13
-8,-13,14
-2,-11,15
1,-8,16
6,-2,17
-1,-9,16
-15,-6,15
-8,-16,16
-2,-14,17
1,-11,18
6,-5,19
7,6,20
0,-1,19
-14,2,18
-13,-10,19
-7,-8,20
-4,-5,21
1,1,22
-6,-6,21
0,-4,22
5,2,23
-2,-5,22
-16,-2,21
-9,-12,22
-3,-10,23
0,-7,24
5,-1,25
-2,-8,24
-16,-5,23
-9,-15,24
-3,-13,25
0,-10,26
5,-4,27
6,7,28
14,-4,29
7,-11,28
-7,-8,27
-1,-6,28
4,0,29
-3,-7,28
-17,-4,27
-10,-14,28
-4,-12,29
-1,-9,30
4,-3,31
-3,-10,30
-17,-7,29
-10,-17,30
-4,-15,31
-1,-12,32
4,-6,33
5,5,34
-2,-2,33
-16,1,32
-9,-9,33
-3,-7,34
2,-1,35
-5,-8,34
1,-6,35
2,5,36
10,-6,37
3,-13,36
-11,-10,35
-5,-8,36
-2,-5,37
3,1,38
-4,-6,37
1,0,38
-6,-7,37
0,-5,38
1,6,39
9,-5,40
2,-12,39
-12,-9,38
-6,-7,39
-1,-1,40
-8,-8,39
-2,-6,40
3,0,41
-4,-7,40
-18,-4,39
-11,-14,40
-5,-12,41
-2,-9,42
3,-3,43
-4,-10,42
-18,-7,41
-11,-17,42
-5,-15,43
-2,-12,44
3,-6,45
4,5,46
-3,-2,45
-17,1,44
-10,-9,45
-4,-7,46
1,-1,47
-6,-8,46
0,-6,47
1,5,48
-6,-2,47
